index,data,data2
0,3.5,-3.2
1,3.9,-3
2,4,-2.8
3,4,-2.6
4,3.9,-2.3
5,3.7,-2
6,4.3,-2
7,4.7,-2
8,5,-2
9,6,-2.7
10,7,-3.3
11,8,-4
12,7.7,-4.3
13,7.3,-4.7
14,7,-5
15,7,-5
16,6,-4
17,5,-4
18,4,-3.7
19,3,-3.3
20,2,-3
21,1.7,-3
22,1.3,-3
23,1,-3
24,0.7,-3
25,0.3,-3
26,0,-3
27,-0.3,-3.3
28,-0.7,-3.7
29,-1,-4
30,-0.5,-3.5
31,0,-3
32,2,-2
33,4.3,-1.3
34,6.7,-0.7
35,9,0
36,9.7,0.7
37,10.3,1.3
38,11,2
39,9.8,1.8
40,8.7,1.7
41,7.5,1.5
42,6.3,1.3
43,5.2,1.2
44,4,1
45,3.7,0.7
46,3.3,0.3
47,3,0
48,2.3,0
49,1.7,0
50,1,0
51,1.3,0.3
52,1.7,0.7
53,2,1
54,2,0
55,3,1
56,4,2
57,5.5,2.5
58,7,3
59,10,4
60,10,4.3
61,10,4.7
62,10,5
63,9.7,5.3
64,9.3,5.7
65,9,6
66,8.7,6.3
67,8.3,6.7
68,8,7
69,7.5,6.5
70,7,6
71,6.5,5.5
72,6,5
73,5.5,4.5
74,5,4
75,4,4
76,4,4
77,4,3
78,4.3,3.3
79,4.7,3.7
80,5,4
81,7.3,2.7
82,9.7,1.3
83,12,0
84,12,-0.3
85,12,-0.7
86,12,-1
87,11.3,-1
88,10.7,-1
89,10,-1
90,8.7,-0.3
91,7.3,0.3
92,6,1
93,5.3,0.3
94,4.7,-0.3
95,4,-1
96,3.3,-1
97,2.7,-1
98,2,-1
99,1.7,-1.3
100,1.5,-1.5
101,1.2,-1.8
102,1,-2
103,3,-1
104,5,0
105,6.3,-0.3
106,7.7,-0.7
107,9,-1
108,9.3,-1.7
109,9.7,-2.3
110,10,-3
111,9.3,-2.3
112,8.7,-1.7
113,8,-1
114,7,-1
115,6,-1
116,5,-1
117,4.3,-1
118,3.7,-1
119,3,-1
120,3,-0.8
121,3,-0.7
122,3,-0.5
123,3,-0.3
124,3,-0.2
125,3,0
126,3.7,0.3
127,4.3,0.7
128,5,1
129,7.5,1.5
130,10,2
131,10,2
132,10.3,2.7
133,10.7,3.3
134,11,4
135,10.7,4.3
136,10.3,4.7
137,10,5
138,9,4.7
139,8,4.3
140,7,4
141,6.3,3.7
142,5.7,3.3
143,5,3
144,4.7,2.7
145,4.3,2.3
146,4,2
147,5,2
148,6,2
149,7,2
150,7,1.5
151,7,1
152,7,0.5
153,7,0
154,7,-0.5
155,7,-1
156,8,-2
157,7.5,-1.5
158,7,-1
159,6,-1.3
160,5,-1.7
161,4,-2
162,3.5,-2
163,3,-2
164,2.7,-2
165,2.5,-2
